Site,Date,Start,Longitude,Latitude,Elevation,Location,Formation,Fire,Species,Count,Distance,Bearing,Time,Position,Notes,Site Notes
BFEH3_s1,20/12/2020,5:54,153.3584993,-28.58045913,,Blue Fig Road,Rainforest,Burnt,White-throated Treecreeper,1,60,W,,,,Stream loud
BF-UR-01,20/12/2020,6:12,153.360976,-28.581176,376.622,Blue Fig Road,Rainforest,Unburnt,Australian Brush-turkey,1,10,NW,,,,Stream and cicadas loud
BF-UR-01,20/12/2020,6:12,153.360976,-28.581176,376.622,Blue Fig Road,Rainforest,Unburnt,Brown Cuckoo-Dove,1,100,NW,6:20,,,Stream and cicadas loud
BF-UR-01,20/12/2020,6:12,153.360976,-28.581176,376.622,Blue Fig Road,Rainforest,Unburnt,Crimson Rosella,1,50,W,,,,Stream and cicadas loud
BF-UR-01,20/12/2020,6:12,153.360976,-28.581176,376.622,Blue Fig Road,Rainforest,Unburnt,Golden Whistler,1,60,N,,,,Stream and cicadas loud
BF-UR-01,20/12/2020,6:12,153.360976,-28.581176,376.622,Blue Fig Road,Rainforest,Unburnt,Green Catbird,1,70,NW,6:14,,,Stream and cicadas loud
BF-UR-01,20/12/2020,6:12,153.360976,-28.581176,376.622,Blue Fig Road,Rainforest,Unburnt,Grey Fantail,1,30,SW,6:16,,,Stream and cicadas loud
BF-UR-01,20/12/2020,6:12,153.360976,-28.581176,376.622,Blue Fig Road,Rainforest,Unburnt,Laughing Kookaburra,1,80,N,,,,Stream and cicadas loud
BF-UR-01,20/12/2020,6:12,153.360976,-28.581176,376.622,Blue Fig Road,Rainforest,Unburnt,Rufous Fantail,1,50,S,,,,Stream and cicadas loud
BF-UR-01,20/12/2020,6:12,153.360976,-28.581176,376.622,Blue Fig Road,Rainforest,Unburnt,Superb Fruit-Dove,1,40,NW,,,,Stream and cicadas loud
BF-UR-01,20/12/2020,6:12,153.360976,-28.581176,376.622,Blue Fig Road,Rainforest,Unburnt,Wompoo Fruit-Dove,2,20,NW,6:12,,,Stream and cicadas loud
BF-UR-01,20/12/2020,6:12,153.360976,-28.581176,376.622,Blue Fig Road,Rainforest,Unburnt,Wonga Pigeon,,,,,,,Stream and cicadas loud
BF-UR-03,20/12/2020,5:29,153.354715,-28.582456,418.103,Blue Fig Road,Rainforest,Unburnt,Albert's Lyrebird,,,,,,,Burnt RF 50m W
BF-UR-03,20/12/2020,5:29,153.354715,-28.582456,418.103,Blue Fig Road,Rainforest,Unburnt,Brown Cuckoo-Dove,1,100,SW,,,,Burnt RF 50m W
BF-UR-03,20/12/2020,5:29,153.354715,-28.582456,418.103,Blue Fig Road,Rainforest,Unburnt,Brown Gerygone,1,40,NW,,,,Burnt RF 50m W
BF-UR-03,20/12/2020,5:29,153.354715,-28.582456,418.103,Blue Fig Road,Rainforest,Unburnt,Brown Gerygone,2,40,E,5:32,,,Burnt RF 50m W
BF-UR-03,20/12/2020,5:29,153.354715,-28.582456,418.103,Blue Fig Road,Rainforest,Unburnt,Green Catbird,2,80,SE,,,,Burnt RF 50m W
BF-UR-03,20/12/2020,5:29,153.354715,-28.582456,418.103,Blue Fig Road,Rainforest,Unburnt,Large-billed Scrubwren,1,20,N,,,,Burnt RF 50m W
BF-UR-03,20/12/2020,5:29,153.354715,-28.582456,418.103,Blue Fig Road,Rainforest,Unburnt,Laughing Kookaburra,1,70,W,5:31,,,Burnt RF 50m W
BF-UR-03,20/12/2020,5:29,153.354715,-28.582456,418.103,Blue Fig Road,Rainforest,Unburnt,Lewin's Honeyeater,1,70,NW,,,,Burnt RF 50m W
BF-UR-03,20/12/2020,5:29,153.354715,-28.582456,418.103,Blue Fig Road,Rainforest,Unburnt,Lewin's Honeyeater,1,60,S,,,,Burnt RF 50m W
BF-UR-03,20/12/2020,5:29,153.354715,-28.582456,418.103,Blue Fig Road,Rainforest,Unburnt,Lewin's Honeyeater,1,60,E,,,,Burnt RF 50m W
BF-UR-03,20/12/2020,5:29,153.354715,-28.582456,418.103,Blue Fig Road,Rainforest,Unburnt,Little Shrike-thrush,,,,,,,Burnt RF 50m W
BF-UR-03,20/12/2020,5:29,153.354715,-28.582456,418.103,Blue Fig Road,Rainforest,Unburnt,Australian Logrunner,2,40,E,,,,Burnt RF 50m W
BF-UR-03,20/12/2020,5:29,153.354715,-28.582456,418.103,Blue Fig Road,Rainforest,Unburnt,Paradise Riflebird,1,50,SW,5:37,,,Burnt RF 50m W
BF-UR-03,20/12/2020,5:29,153.354715,-28.582456,418.103,Blue Fig Road,Rainforest,Unburnt,Pied Currawong,1,100,SE,,,,Burnt RF 50m W
BF-UR-03,20/12/2020,5:29,153.354715,-28.582456,418.103,Blue Fig Road,Rainforest,Unburnt,Rose-crowned Fruit-Dove,1,30,E,,,,Burnt RF 50m W
BF-UR-03,20/12/2020,5:29,153.354715,-28.582456,418.103,Blue Fig Road,Rainforest,Unburnt,Rufous Fantail,1,50,E,5:29,,,Burnt RF 50m W
BF-UR-03,20/12/2020,5:29,153.354715,-28.582456,418.103,Blue Fig Road,Rainforest,Unburnt,Rufous Fantail,1,40,S,,,,Burnt RF 50m W
BF-UR-03,20/12/2020,5:29,153.354715,-28.582456,418.103,Blue Fig Road,Rainforest,Unburnt,Russet-tailed Thrush,1,80,N,,,,Burnt RF 50m W
BF-UR-03,20/12/2020,5:29,153.354715,-28.582456,418.103,Blue Fig Road,Rainforest,Unburnt,Sulphur-crested Cockatoo,1,70,N,,Flyover,,Burnt RF 50m W
BF-UR-03,20/12/2020,5:29,153.354715,-28.582456,418.103,Blue Fig Road,Rainforest,Unburnt,White-headed Pigeon,,,,,,,Burnt RF 50m W
BF-UR-03,20/12/2020,5:29,153.354715,-28.582456,418.103,Blue Fig Road,Rainforest,Unburnt,White-throated Treecreeper,,,,,,,Burnt RF 50m W
BF-UR-03,20/12/2020,5:29,153.354715,-28.582456,418.103,Blue Fig Road,Rainforest,Unburnt,Wompoo Fruit-Dove,1,50,E,,,,Burnt RF 50m W
BF-UR-03,20/12/2020,5:29,153.354715,-28.582456,418.103,Blue Fig Road,Rainforest,Unburnt,Yellow-throated Scrubwren,2,40,E,,,,Burnt RF 50m W
BF-UR-EH2,19/12/2020,6:33,153.351935,-28.577145,399.859,Blue Fig Road,Rainforest,Unburnt,Lewin's Honeyeater,,,,,,Out of Survey,Stream and Cicadas V/loud
BF-UR-EH2,19/12/2020,6:33,153.351935,-28.577145,399.859,Blue Fig Road,Rainforest,Unburnt,Little Shrike-thrush,,,,,,Out of Survey,Stream and Cicadas V/loud
BF-UR-EH2,19/12/2020,6:33,153.351935,-28.577145,399.859,Blue Fig Road,Rainforest,Unburnt,Brown Cuckoo-Dove,1,80,NW,6:33,,,Stream and Cicadas V/loud
BF-UR-EH2,19/12/2020,6:33,153.351935,-28.577145,399.859,Blue Fig Road,Rainforest,Unburnt,Green Catbird,1,30,SW,,Midstorey,,Stream and Cicadas V/loud
BF-UR-EH2,19/12/2020,6:33,153.351935,-28.577145,399.859,Blue Fig Road,Rainforest,Unburnt,Australian King-Parrot,1,10,N,,Canopy,,Stream and Cicadas V/loud
BF-UR-EH2,19/12/2020,6:33,153.351935,-28.577145,399.859,Blue Fig Road,Rainforest,Unburnt,Spangled Drongo,6,50,E,,,,Stream and Cicadas V/loud
BF-UR-EH2,19/12/2020,6:33,153.351935,-28.577145,399.859,Blue Fig Road,Rainforest,Unburnt,Superb Fruit-Dove,1,60,S,6:36,,,Stream and Cicadas V/loud
BF-UR-EH2,19/12/2020,6:33,153.351935,-28.577145,399.859,Blue Fig Road,Rainforest,Unburnt,Wompoo Fruit-Dove,2,40,S,,Flyover,,Stream and Cicadas V/loud
BR-BR-01,25/11/2020,6:56,152.716827,-28.350157,537.361,Border Ranges 1,Rainforest,Burnt,Rainbow Lorikeet,5,,,,Flyover,Out of Survey,
BR-BR-01,25/11/2020,6:56,152.716827,-28.350157,537.361,Border Ranges 1,Rainforest,Burnt,Brown Cuckoo-Dove,1,50,W,,,,
BR-BR-01,25/11/2020,6:56,152.716827,-28.350157,537.361,Border Ranges 1,Rainforest,Burnt,Brown Cuckoo-Dove,1,80,NW,,,,
BR-BR-01,25/11/2020,6:56,152.716827,-28.350157,537.361,Border Ranges 1,Rainforest,Burnt,Brown Gerygone,5,20,NW,,,,
BR-BR-01,25/11/2020,6:56,152.716827,-28.350157,537.361,Border Ranges 1,Rainforest,Burnt,Cicadabird,1,80,E,6:59,,,
BR-BR-01,25/11/2020,6:56,152.716827,-28.350157,537.361,Border Ranges 1,Rainforest,Burnt,Eastern Whipbird,1,60,E,,,,
BR-BR-01,25/11/2020,6:56,152.716827,-28.350157,537.361,Border Ranges 1,Rainforest,Burnt,Eastern Whipbird,1,80,S,,,,
BR-BR-01,25/11/2020,6:56,152.716827,-28.350157,537.361,Border Ranges 1,Rainforest,Burnt,Eastern Yellow Robin,1,40,SW,,,,
BR-BR-01,25/11/2020,6:56,152.716827,-28.350157,537.361,Border Ranges 1,Rainforest,Burnt,Golden Whistler,1,100,N,,,,
BR-BR-01,25/11/2020,6:56,152.716827,-28.350157,537.361,Border Ranges 1,Rainforest,Burnt,Golden Whistler,1,70,W,6:57,,,
BR-BR-01,25/11/2020,6:56,152.716827,-28.350157,537.361,Border Ranges 1,Rainforest,Burnt,Golden Whistler,1,80,S,,,,
BR-BR-01,25/11/2020,6:56,152.716827,-28.350157,537.361,Border Ranges 1,Rainforest,Burnt,Grey Shrike-thrush,1,100,S,,,,
BR-BR-01,25/11/2020,6:56,152.716827,-28.350157,537.361,Border Ranges 1,Rainforest,Burnt,Australian King-Parrot,1,60,E,,,,
BR-BR-01,25/11/2020,6:56,152.716827,-28.350157,537.361,Border Ranges 1,Rainforest,Burnt,Lewin's Honeyeater,1,20,W,6:56,,,
BR-BR-01,25/11/2020,6:56,152.716827,-28.350157,537.361,Border Ranges 1,Rainforest,Burnt,Lewin's Honeyeater,1,60,N,,,,
BR-BR-01,25/11/2020,6:56,152.716827,-28.350157,537.361,Border Ranges 1,Rainforest,Burnt,Lewin's Honeyeater,1,70,E,7:02,,,
BR-BR-01,25/11/2020,6:56,152.716827,-28.350157,537.361,Border Ranges 1,Rainforest,Burnt,Australian Logrunner,1,60,E,,,,
BR-BR-01,25/11/2020,6:56,152.716827,-28.350157,537.361,Border Ranges 1,Rainforest,Burnt,Rose-crowned Fruit-Dove,1,90,NW,,,,
BR-BR-01,25/11/2020,6:56,152.716827,-28.350157,537.361,Border Ranges 1,Rainforest,Burnt,Rufous Fantail,1,50,NW,,,,
BR-BR-01,25/11/2020,6:56,152.716827,-28.350157,537.361,Border Ranges 1,Rainforest,Burnt,Silvereye,1,50,S,,,,
BR-BR-01,25/11/2020,6:56,152.716827,-28.350157,537.361,Border Ranges 1,Rainforest,Burnt,Silvereye,5,60,N,7:04,,,
BR-BR-01,25/11/2020,6:56,152.716827,-28.350157,537.361,Border Ranges 1,Rainforest,Burnt,Spectacled Monarch,1,20,N,,Midstorey,,
BR-BR-01,25/11/2020,6:56,152.716827,-28.350157,537.361,Border Ranges 1,Rainforest,Burnt,Topknot Pigeon,8,50,N,,Canopy,,
BR-BR-01,25/11/2020,6:56,152.716827,-28.350157,537.361,Border Ranges 1,Rainforest,Burnt,Yellow-tailed Black-Cockatoo,5,100,E,,Flyover,,
BR-BR-02,24/11/2020,6:16,152.711953,-28.344048,544.357,Border Ranges 1,Rainforest,Burnt,Bell Miner,4,150,W,6:20,,,"Large patch, 60m+ around"
BR-BR-02,24/11/2020,6:16,152.711953,-28.344048,544.357,Border Ranges 1,Rainforest,Burnt,Brown Cuckoo-Dove,1,80,S,,,,"Large patch, 60m+ around"
BR-BR-02,24/11/2020,6:16,152.711953,-28.344048,544.357,Border Ranges 1,Rainforest,Burnt,Brown Cuckoo-Dove,1,100,N,,,,"Large patch, 60m+ around"
BR-BR-02,24/11/2020,6:16,152.711953,-28.344048,544.357,Border Ranges 1,Rainforest,Burnt,Brown Cuckoo-Dove,1,150,NW,,,,"Large patch, 60m+ around"
BR-BR-02,24/11/2020,6:16,152.711953,-28.344048,544.357,Border Ranges 1,Rainforest,Burnt,Brown Thornbill,1,20,W,,,,"Large patch, 60m+ around"
BR-BR-02,24/11/2020,6:16,152.711953,-28.344048,544.357,Border Ranges 1,Rainforest,Burnt,Channel-billed Cuckoo,1,200,NW,,,,"Large patch, 60m+ around"
BR-BR-02,24/11/2020,6:16,152.711953,-28.344048,544.357,Border Ranges 1,Rainforest,Burnt,Eastern Koel,1,150,NW,,,,"Large patch, 60m+ around"
BR-BR-02,24/11/2020,6:16,152.711953,-28.344048,544.357,Border Ranges 1,Rainforest,Burnt,Eastern Whipbird,1,20,NW,,,,"Large patch, 60m+ around"
BR-BR-02,24/11/2020,6:16,152.711953,-28.344048,544.357,Border Ranges 1,Rainforest,Burnt,Eastern Whipbird,1,40,SW,,,,"Large patch, 60m+ around"
BR-BR-02,24/11/2020,6:16,152.711953,-28.344048,544.357,Border Ranges 1,Rainforest,Burnt,Eastern Whipbird,1,80,N,6:24,,,"Large patch, 60m+ around"
BR-BR-02,24/11/2020,6:16,152.711953,-28.344048,544.357,Border Ranges 1,Rainforest,Burnt,Eastern Yellow Robin,1,10,SW,6:25,,,"Large patch, 60m+ around"
BR-BR-02,24/11/2020,6:16,152.711953,-28.344048,544.357,Border Ranges 1,Rainforest,Burnt,Golden Whistler,1,100,SW,,,,"Large patch, 60m+ around"
BR-BR-02,24/11/2020,6:16,152.711953,-28.344048,544.357,Border Ranges 1,Rainforest,Burnt,Golden Whistler,1,40,N,,,,"Large patch, 60m+ around"
BR-BR-02,24/11/2020,6:16,152.711953,-28.344048,544.357,Border Ranges 1,Rainforest,Burnt,Golden Whistler,1,70,E,,,,"Large patch, 60m+ around"
BR-BR-02,24/11/2020,6:16,152.711953,-28.344048,544.357,Border Ranges 1,Rainforest,Burnt,Golden Whistler,1,100,SE,,,,"Large patch, 60m+ around"
BR-BR-02,24/11/2020,6:16,152.711953,-28.344048,544.357,Border Ranges 1,Rainforest,Burnt,Green Catbird,1,50,N,,,,"Large patch, 60m+ around"
BR-BR-02,24/11/2020,6:16,152.711953,-28.344048,544.357,Border Ranges 1,Rainforest,Burnt,Grey Fantail,1,150,SE,,,,"Large patch, 60m+ around"
BR-BR-02,24/11/2020,6:16,152.711953,-28.344048,544.357,Border Ranges 1,Rainforest,Burnt,Grey Fantail,1,40,W,,,,"Large patch, 60m+ around"
BR-BR-02,24/11/2020,6:16,152.711953,-28.344048,544.357,Border Ranges 1,Rainforest,Burnt,Large-billed Scrubwren,2,40,E,6:19,,,"Large patch, 60m+ around"
BR-BR-02,24/11/2020,6:16,152.711953,-28.344048,544.357,Border Ranges 1,Rainforest,Burnt,Lewin's Honeyeater,1,40,E,,,,"Large patch, 60m+ around"
BR-BR-02,24/11/2020,6:16,152.711953,-28.344048,544.357,Border Ranges 1,Rainforest,Burnt,Lewin's Honeyeater,1,10,W,,Midstorey,,"Large patch, 60m+ around"
BR-BR-02,24/11/2020,6:16,152.711953,-28.344048,544.357,Border Ranges 1,Rainforest,Burnt,Australian Logrunner,1,30,N,,,,"Large patch, 60m+ around"
BR-BR-02,24/11/2020,6:16,152.711953,-28.344048,544.357,Border Ranges 1,Rainforest,Burnt,Olive-backed Oriole,1,80,NW,6:22,,,"Large patch, 60m+ around"
BR-BR-02,24/11/2020,6:16,152.711953,-28.344048,544.357,Border Ranges 1,Rainforest,Burnt,Rainbow Lorikeet,2,60,W,6:21,,,"Large patch, 60m+ around"
BR-BR-02,24/11/2020,6:16,152.711953,-28.344048,544.357,Border Ranges 1,Rainforest,Burnt,Spectacled Monarch,1,100,NW,,,,"Large patch, 60m+ around"
BR-BR-02,24/11/2020,6:16,152.711953,-28.344048,544.357,Border Ranges 1,Rainforest,Burnt,Spectacled Monarch,1,10,S,6:26,Midstorey,,"Large patch, 60m+ around"
BR-BR-02,24/11/2020,6:16,152.711953,-28.344048,544.357,Border Ranges 1,Rainforest,Burnt,Wompoo Fruit-Dove,1,50,NW,6:17,,,"Large patch, 60m+ around"
BR-BR-02,24/11/2020,6:16,152.711953,-28.344048,544.357,Border Ranges 1,Rainforest,Burnt,Wompoo Fruit-Dove,1,100,S,6:18,,,"Large patch, 60m+ around"
BR-BR-02,24/11/2020,6:16,152.711953,-28.344048,544.357,Border Ranges 1,Rainforest,Burnt,Wonga Pigeon,1,100,S,,,,"Large patch, 60m+ around"
BR-BR-03,24/11/2020,6:37,152.712833,-28.345416,545.487,Border Ranges 1,Rainforest,Burnt,Cicadabird,,,,,,Out of Survey,"Large Patch, 60m S to UR"
BR-BR-03,24/11/2020,6:37,152.712833,-28.345416,545.487,Border Ranges 1,Rainforest,Burnt,Eastern Yellow Robin,,,,,,Out of Survey,"Large Patch, 60m S to UR"
BR-BR-03,24/11/2020,6:37,152.712833,-28.345416,545.487,Border Ranges 1,Rainforest,Burnt,Bell Miner,4,200,NW,6:45,,,"Large Patch, 60m S to UR"
BR-BR-03,24/11/2020,6:37,152.712833,-28.345416,545.487,Border Ranges 1,Rainforest,Burnt,Brown Cuckoo-Dove,1,50,SW,,Canopy,,"Large Patch, 60m S to UR"
BR-BR-03,24/11/2020,6:37,152.712833,-28.345416,545.487,Border Ranges 1,Rainforest,Burnt,Brown Cuckoo-Dove,1,80,E,,,,"Large Patch, 60m S to UR"
BR-BR-03,24/11/2020,6:37,152.712833,-28.345416,545.487,Border Ranges 1,Rainforest,Burnt,Brown Cuckoo-Dove,3,20,W,,Flyover,,"Large Patch, 60m S to UR"
BR-BR-03,24/11/2020,6:37,152.712833,-28.345416,545.487,Border Ranges 1,Rainforest,Burnt,Eastern Whipbird,1,50,S,6:40,,,"Large Patch, 60m S to UR"
BR-BR-03,24/11/2020,6:37,152.712833,-28.345416,545.487,Border Ranges 1,Rainforest,Burnt,Eastern Whipbird,1,60,W,,,,"Large Patch, 60m S to UR"
BR-BR-03,24/11/2020,6:37,152.712833,-28.345416,545.487,Border Ranges 1,Rainforest,Burnt,Fan-tailed Cuckoo,1,70,SE,,,,"Large Patch, 60m S to UR"
BR-BR-03,24/11/2020,6:37,152.712833,-28.345416,545.487,Border Ranges 1,Rainforest,Burnt,Golden Whistler,1,80,SW,,,,"Large Patch, 60m S to UR"
BR-BR-03,24/11/2020,6:37,152.712833,-28.345416,545.487,Border Ranges 1,Rainforest,Burnt,Golden Whistler,2,80,N,,,,"Large Patch, 60m S to UR"
BR-BR-03,24/11/2020,6:37,152.712833,-28.345416,545.487,Border Ranges 1,Rainforest,Burnt,Green Catbird,1,150,SE,6:42,,,"Large Patch, 60m S to UR"
BR-BR-03,24/11/2020,6:37,152.712833,-28.345416,545.487,Border Ranges 1,Rainforest,Burnt,Lewin's Honeyeater,2,10,N,,,,"Large Patch, 60m S to UR"
BR-BR-03,24/11/2020,6:37,152.712833,-28.345416,545.487,Border Ranges 1,Rainforest,Burnt,Noisy Pitta,1,30,S,,Midstorey,,"Large Patch, 60m S to UR"
BR-BR-03,24/11/2020,6:37,152.712833,-28.345416,545.487,Border Ranges 1,Rainforest,Burnt,Paradise Riflebird,1,50,SW,6:38,Canopy,,"Large Patch, 60m S to UR"
BR-BR-03,24/11/2020,6:37,152.712833,-28.345416,545.487,Border Ranges 1,Rainforest,Burnt,Pied Currawong,1,150,S,6:41,,,"Large Patch, 60m S to UR"
BR-BR-03,24/11/2020,6:37,152.712833,-28.345416,545.487,Border Ranges 1,Rainforest,Burnt,Rose-crowned Fruit-Dove,1,60,S,,,,"Large Patch, 60m S to UR"
BR-BR-03,24/11/2020,6:37,152.712833,-28.345416,545.487,Border Ranges 1,Rainforest,Burnt,Scarlet Honeyeater,1,50,N,6:43,,,"Large Patch, 60m S to UR"
BR-BR-03,24/11/2020,6:37,152.712833,-28.345416,545.487,Border Ranges 1,Rainforest,Burnt,Spangled Drongo,4,30,N,,,,"Large Patch, 60m S to UR"
BR-BR-03,24/11/2020,6:37,152.712833,-28.345416,545.487,Border Ranges 1,Rainforest,Burnt,Spectacled Monarch,1,80,SE,,,,"Large Patch, 60m S to UR"
BR-BR-03,24/11/2020,6:37,152.712833,-28.345416,545.487,Border Ranges 1,Rainforest,Burnt,White-throated Treecreeper,1,50,W,,,,"Large Patch, 60m S to UR"
BR-BR-03,24/11/2020,6:37,152.712833,-28.345416,545.487,Border Ranges 1,Rainforest,Burnt,White-throated Treecreeper,1,80,SW,,,,"Large Patch, 60m S to UR"
BR-BR-03,24/11/2020,6:37,152.712833,-28.345416,545.487,Border Ranges 1,Rainforest,Burnt,Wompoo Fruit-Dove,1,60,NW,,,,"Large Patch, 60m S to UR"
BR-BR-03,24/11/2020,6:37,152.712833,-28.345416,545.487,Border Ranges 1,Rainforest,Burnt,Wompoo Fruit-Dove,1,30,SW,,,,"Large Patch, 60m S to UR"
BR-BR-04,23/11/2020,6:05,152.755279,-28.371405,554.274,Border Ranges 2,Rainforest,Burnt,Eastern Yellow Robin,,,,,,Out of Survey,40m N to UR (patchy) light-moderate wind
BR-BR-04,23/11/2020,6:05,152.755279,-28.371405,554.274,Border Ranges 2,Rainforest,Burnt,Australian King-Parrot,,,,,,Out of Survey,40m N to UR (patchy) light-moderate wind
BR-BR-04,23/11/2020,6:05,152.755279,-28.371405,554.274,Border Ranges 2,Rainforest,Burnt,Pied Currawong,,,,,,Out of Survey,40m N to UR (patchy) light-moderate wind
BR-BR-04,23/11/2020,6:05,152.755279,-28.371405,554.274,Border Ranges 2,Rainforest,Burnt,Australasian Figbird,1,50,W,6:07,,,40m N to UR (patchy) light-moderate wind
BR-BR-04,23/11/2020,6:05,152.755279,-28.371405,554.274,Border Ranges 2,Rainforest,Burnt,Barred Cuckoo-shrike,2,40,SE,,,,40m N to UR (patchy) light-moderate wind
BR-BR-04,23/11/2020,6:05,152.755279,-28.371405,554.274,Border Ranges 2,Rainforest,Burnt,Brown Cuckoo-Dove,1,50,E,,Flyover,,40m N to UR (patchy) light-moderate wind
BR-BR-04,23/11/2020,6:05,152.755279,-28.371405,554.274,Border Ranges 2,Rainforest,Burnt,Brown Cuckoo-Dove,1,80,S,,Flyover,,40m N to UR (patchy) light-moderate wind
BR-BR-04,23/11/2020,6:05,152.755279,-28.371405,554.274,Border Ranges 2,Rainforest,Burnt,Brown Cuckoo-Dove,1,40,S,6:10,Flyover,,40m N to UR (patchy) light-moderate wind
BR-BR-04,23/11/2020,6:05,152.755279,-28.371405,554.274,Border Ranges 2,Rainforest,Burnt,Brown Gerygone,1,30,NE,,,,40m N to UR (patchy) light-moderate wind
