,X1,Site,Bearing,Point,Litter.Cover,Litter.Depth.OG,Litter.Depth,Undergrowth,Growth..2m,Canopy.Cover,Notes,Recorder,Treatment,Longitude,Latitude,Elevation,Location,Formation,Fire
60,81,TC-BR-02,West,50,100,35,30,,10.8,10,,,RainforestBurnt,153.315057,-28.564977,233.75,Terania Creek,Rainforest,Burnt
61,83,TC-UR-02,North,10,100,46,41,186,4.9,100,,,RainforestUnburnt,153.315418,-28.56427,229.606,Terania Creek,Rainforest,Unburnt
62,85,TC-UR-02,North,20,100,29,24,,8.6,90,,,RainforestUnburnt,153.315418,-28.56427,229.606,Terania Creek,Rainforest,Unburnt
63,87,TC-UR-02,North,30,100,40,35,94,0.2,80,,,RainforestUnburnt,153.315418,-28.56427,229.606,Terania Creek,Rainforest,Unburnt
64,89,TC-UR-02,North,40,100,44,39,,5.8,90,,,RainforestUnburnt,153.315418,-28.56427,229.606,Terania Creek,Rainforest,Unburnt
65,91,TC-UR-02,North,50,40,21,16,,3.5,90,Rocks,,RainforestUnburnt,153.315418,-28.56427,229.606,Terania Creek,Rainforest,Unburnt
66,93,TC-UR-02,East,10,100,29,24,,3,90,,,RainforestUnburnt,153.315418,-28.56427,229.606,Terania Creek,Rainforest,Unburnt
67,95,TC-UR-02,East,20,100,52,47,,0.7,90,,,RainforestUnburnt,153.315418,-28.56427,229.606,Terania Creek,Rainforest,Unburnt
68,97,TC-UR-02,East,30,100,46,41,,12.8,100,,,RainforestUnburnt,153.315418,-28.56427,229.606,Terania Creek,Rainforest,Unburnt
69,99,TC-UR-02,East,40,100,33,28,,5.9,90,,,RainforestUnburnt,153.315418,-28.56427,229.606,Terania Creek,Rainforest,Unburnt
70,101,TC-UR-02,East,50,100,40,35,70,1.9,90,,,RainforestUnburnt,153.315418,-28.56427,229.606,Terania Creek,Rainforest,Unburnt
71,103,TC-UR-02,South,10,80,30,25,,1,90,,,RainforestUnburnt,153.315418,-28.56427,229.606,Terania Creek,Rainforest,Unburnt
72,105,TC-UR-02,South,20,100,17,12,"103, 151, 183",10.6,90,,,RainforestUnburnt,153.315418,-28.56427,229.606,Terania Creek,Rainforest,Unburnt
73,107,TC-UR-02,South,30,100,50,45,,1.9,90,,,RainforestUnburnt,153.315418,-28.56427,229.606,Terania Creek,Rainforest,Unburnt
74,109,TC-UR-02,South,40,100,45,40,51,13.8,100,,,RainforestUnburnt,153.315418,-28.56427,229.606,Terania Creek,Rainforest,Unburnt
75,111,TC-UR-02,South,50,0,20,15,"130, 193",6.4,90,Stream,,RainforestUnburnt,153.315418,-28.56427,229.606,Terania Creek,Rainforest,Unburnt
76,113,TC-UR-02,West,10,80,30,25,,8.8,90,,,RainforestUnburnt,153.315418,-28.56427,229.606,Terania Creek,Rainforest,Unburnt
77,115,TC-UR-02,West,20,40,43,38,"62, 70",11.8,100,Stream,,RainforestUnburnt,153.315418,-28.56427,229.606,Terania Creek,Rainforest,Unburnt
78,117,TC-UR-02,West,30,100,23,18,132,1.3,90,,,RainforestUnburnt,153.315418,-28.56427,229.606,Terania Creek,Rainforest,Unburnt
79,119,TC-UR-02,West,40,80,40,35,,15.9,80,,,RainforestUnburnt,153.315418,-28.56427,229.606,Terania Creek,Rainforest,Unburnt
80,121,TC-UR-02,West,50,100,33,28,14,3.1,80,,,RainforestUnburnt,153.315418,-28.56427,229.606,Terania Creek,Rainforest,Unburnt
81,123,TC-BR-03,North,10,90,29,24,"26, 74, 84, 89",NA,0,,,RainforestBurnt,153.3131427,-28.56492853,NA,Terania Creek,Rainforest,Burnt
82,125,TC-BR-03,North,20,90,28,23,"6, 7, 8",4.8,90,,,RainforestBurnt,153.3131427,-28.56492853,NA,Terania Creek,Rainforest,Burnt
83,128,TC-BR-03,East,10,90,27,22,,4.5,100,,,RainforestBurnt,153.3131427,-28.56492853,NA,Terania Creek,Rainforest,Burnt
84,130,TC-BR-03,East,20,90,34,29,43,3.7,80,,,RainforestBurnt,153.3131427,-28.56492853,NA,Terania Creek,Rainforest,Burnt
85,133,TC-BR-03,South,10,100,31,26,,4.3,100,,,RainforestBurnt,153.3131427,-28.56492853,NA,Terania Creek,Rainforest,Burnt
86,135,TC-BR-03,South,20,100,29,24,,11.8,90,,,RainforestBurnt,153.3131427,-28.56492853,NA,Terania Creek,Rainforest,Burnt
87,138,TC-BR-03,West,10,100,23,18,"39, 50, 55, 59, 63, 64",4.3,100,,,RainforestBurnt,153.3131427,-28.56492853,NA,Terania Creek,Rainforest,Burnt
88,140,TC-BR-03,West,20,90,19,14,,23.1,10,,,RainforestBurnt,153.3131427,-28.56492853,NA,Terania Creek,Rainforest,Burnt
89,143,TC-UR-03,North,10,100,30,25,141,10.5,90,,,RainforestUnburnt,153.31387,-28.563739,217.431,Terania Creek,Rainforest,Unburnt
90,145,TC-UR-03,North,20,100,33,28,"124, 137",5,100,,,RainforestUnburnt,153.31387,-28.563739,217.431,Terania Creek,Rainforest,Unburnt
91,148,TC-UR-03,East,10,100,33,28,,8.1,100,,,RainforestUnburnt,153.31387,-28.563739,217.431,Terania Creek,Rainforest,Unburnt
92,150,TC-UR-03,East,20,100,33,28,62,2.3,90,,,RainforestUnburnt,153.31387,-28.563739,217.431,Terania Creek,Rainforest,Unburnt
93,152,TC-UR-03,South,10,100,35,30,"59, 53, 178",3.8,100,,,RainforestUnburnt,153.31387,-28.563739,217.431,Terania Creek,Rainforest,Unburnt
94,153,TC-UR-03,South,20,100,35,30,,6.5,100,,,RainforestUnburnt,153.31387,-28.563739,217.431,Terania Creek,Rainforest,Unburnt
95,154,TC-UR-03,South,30,100,42,37,,5,100,,,RainforestUnburnt,153.31387,-28.563739,217.431,Terania Creek,Rainforest,Unburnt
96,155,TC-UR-03,South,40,100,43,38,192,17,80,,,RainforestUnburnt,153.31387,-28.563739,217.431,Terania Creek,Rainforest,Unburnt
97,156,TC-UR-03,South,50,100,31,26,14,3,90,,,RainforestUnburnt,153.31387,-28.563739,217.431,Terania Creek,Rainforest,Unburnt
98,157,TC-UR-03,West,10,100,34,29,34,9,100,,,RainforestUnburnt,153.31387,-28.563739,217.431,Terania Creek,Rainforest,Unburnt
99,158,TC-UR-03,West,20,100,32,27,32,3.3,100,,,RainforestUnburnt,153.31387,-28.563739,217.431,Terania Creek,Rainforest,Unburnt
100,159,TC-UR-03,West,30,100,40,35,40,3.9,90,,,RainforestUnburnt,153.31387,-28.563739,217.431,Terania Creek,Rainforest,Unburnt
101,160,TC-UR-03,West,40,100,38,33,38,1.8,100,,,RainforestUnburnt,153.31387,-28.563739,217.431,Terania Creek,Rainforest,Unburnt
102,161,TC-UR-03,West,50,100,38,33,38,8.1,80,,,RainforestUnburnt,153.31387,-28.563739,217.431,Terania Creek,Rainforest,Unburnt
103,163,TC-BR-04,North,10,100,40,35,26,21.4,50,,,RainforestBurnt,153.3176835,-28.56191216,NA,Terania Creek,Rainforest,Burnt
104,165,TC-BR-04,North,20,60,18,13,,12,10,,,RainforestBurnt,153.3176835,-28.56191216,NA,Terania Creek,Rainforest,Burnt
105,167,TC-BR-04,East,10,100,25,20,,24.8,100,,,RainforestBurnt,153.3176835,-28.56191216,NA,Terania Creek,Rainforest,Burnt
106,168,TC-BR-04,East,20,90,20,15,,5.9,100,,,RainforestBurnt,153.3176835,-28.56191216,NA,Terania Creek,Rainforest,Burnt
107,169,TC-BR-04,East,30,100,43,38,6,9.5,100,,,RainforestBurnt,153.3176835,-28.56191216,NA,Terania Creek,Rainforest,Burnt
108,170,TC-BR-04,East,40,100,32,27,,10.3,40,,,RainforestBurnt,153.3176835,-28.56191216,NA,Terania Creek,Rainforest,Burnt
109,171,TC-BR-04,East,50,50,18,13,,17.8,90,,,RainforestBurnt,153.3176835,-28.56191216,NA,Terania Creek,Rainforest,Burnt
110,172,TC-BR-04,South,10,100,23,18,1,5.1,100,,,RainforestBurnt,153.3176835,-28.56191216,NA,Terania Creek,Rainforest,Burnt
111,173,TC-BR-04,South,20,80,28,23,,14.8,90,,,RainforestBurnt,153.3176835,-28.56191216,NA,Terania Creek,Rainforest,Burnt
112,174,TC-BR-04,South,30,90,32,27,,8.7,50,,,RainforestBurnt,153.3176835,-28.56191216,NA,Terania Creek,Rainforest,Burnt
113,175,TC-BR-04,South,40,100,26,21,32,3.5,100,,,RainforestBurnt,153.3176835,-28.56191216,NA,Terania Creek,Rainforest,Burnt
114,176,TC-BR-04,South,50,100,20,15,,NA,0,,,RainforestBurnt,153.3176835,-28.56191216,NA,Terania Creek,Rainforest,Burnt
115,177,TC-BR-04,West,10,100,18,13,"5, 9",7,90,,,RainforestBurnt,153.3176835,-28.56191216,NA,Terania Creek,Rainforest,Burnt
116,178,TC-BR-04,West,20,80,15,10,1,19.7,10,,,RainforestBurnt,153.3176835,-28.56191216,NA,Terania Creek,Rainforest,Burnt
117,179,TC-BR-04,West,30,100,25,20,"9, 23, 36",9.4,30,,,RainforestBurnt,153.3176835,-28.56191216,NA,Terania Creek,Rainforest,Burnt
118,180,TC-BR-04,West,40,50,16,11,20,7,90,,,RainforestBurnt,153.3176835,-28.56191216,NA,Terania Creek,Rainforest,Burnt
119,181,TC-BR-04,West,50,100,22,17,4,20.8,40,,,RainforestBurnt,153.3176835,-28.56191216,NA,Terania Creek,Rainforest,Burnt
120,183,TC-UR-04,North,10,100,40,35,15,6,100,,,RainforestUnburnt,153.3164532,-28.56077769,NA,Terania Creek,Rainforest,Unburnt
121,185,TC-UR-04,North,20,100,40,35,147,15.8,100,,,RainforestUnburnt,153.3164532,-28.56077769,NA,Terania Creek,Rainforest,Unburnt
122,187,TC-UR-04,East,10,100,47,42,"21, 82, 95",0.9,100,,,RainforestUnburnt,153.3164532,-28.56077769,NA,Terania Creek,Rainforest,Unburnt
123,188,TC-UR-04,East,20,90,48,43,,6.1,100,,,RainforestUnburnt,153.3164532,-28.56077769,NA,Terania Creek,Rainforest,Unburnt
124,189,TC-UR-04,East,30,80,52,47,,2.9,100,,,RainforestUnburnt,153.3164532,-28.56077769,NA,Terania Creek,Rainforest,Unburnt
125,190,TC-UR-04,East,40,80,28,23,,12.3,90,,,RainforestUnburnt,153.3164532,-28.56077769,NA,Terania Creek,Rainforest,Unburnt
126,191,TC-UR-04,East,50,100,26,21,123,7.7,100,,,RainforestUnburnt,153.3164532,-28.56077769,NA,Terania Creek,Rainforest,Unburnt
127,192,TC-UR-04,South,10,100,51,46,192,0.2,100,,,RainforestUnburnt,153.3164532,-28.56077769,NA,Terania Creek,Rainforest,Unburnt
128,193,TC-UR-04,South,20,100,43,38,,13.3,100,,,RainforestUnburnt,153.3164532,-28.56077769,NA,Terania Creek,Rainforest,Unburnt
129,194,TC-UR-04,South,30,100,39,34,,2.9,100,,,RainforestUnburnt,153.3164532,-28.56077769,NA,Terania Creek,Rainforest,Unburnt
130,195,TC-UR-04,South,40,100,34,29,"15, 16",6.2,100,,,RainforestUnburnt,153.3164532,-28.56077769,NA,Terania Creek,Rainforest,Unburnt
131,196,TC-UR-04,South,50,90,33,28,,5.3,100,,,RainforestUnburnt,153.3164532,-28.56077769,NA,Terania Creek,Rainforest,Unburnt
132,197,TC-UR-04,West,10,100,23,18,,11.2,100,,,RainforestUnburnt,153.3164532,-28.56077769,NA,Terania Creek,Rainforest,Unburnt
133,198,TC-UR-04,West,20,90,37,32,"92, 94, 106",1.9,100,,,RainforestUnburnt,153.3164532,-28.56077769,NA,Terania Creek,Rainforest,Unburnt
134,199,TC-UR-04,West,30,100,19,14,,18,100,,,RainforestUnburnt,153.3164532,-28.56077769,NA,Terania Creek,Rainforest,Unburnt
135,200,TC-UR-04,West,40,90,21,16,8,4.9,90,,,RainforestUnburnt,153.3164532,-28.56077769,NA,Terania Creek,Rainforest,Unburnt
136,201,TC-UR-04,West,50,90,25,20,38,2.3,90,,,RainforestUnburnt,153.3164532,-28.56077769,NA,Terania Creek,Rainforest,Unburnt
137,202,BY-BS-01,North,10,90,11,6,22,18.2,30,,BW,Dry SclerophyllBurnt,152.971524,-29.379345,61.36,Banyabba,Dry Sclerophyll,Burnt
138,203,BY-BS-01,North,20,80,22,17,"7, 11",NA,0,,BW,Dry SclerophyllBurnt,152.971524,-29.379345,61.36,Banyabba,Dry Sclerophyll,Burnt
139,204,BY-BS-01,North,30,30,21,16,"18, 51, 109, 122",2.8,10,Log,BW,Dry SclerophyllBurnt,152.971524,-29.379345,61.36,Banyabba,Dry Sclerophyll,Burnt
140,205,BY-BS-01,Norh,40,100,16,11,1,26,70,,BW,Dry SclerophyllBurnt,152.971524,-29.379345,61.36,Banyabba,Dry Sclerophyll,Burnt
141,206,BY-BS-01,North,50,40,17,12,,15.1,50,Rocks,BW,Dry SclerophyllBurnt,152.971524,-29.379345,61.36,Banyabba,Dry Sclerophyll,Burnt
142,207,BY-BS-01,East,10,100,22,17,3,23.8,70,,BW,Dry SclerophyllBurnt,152.971524,-29.379345,61.36,Banyabba,Dry Sclerophyll,Burnt
143,208,BY-BS-01,East,20,100,21,16,4,20.8,50,,BW,Dry SclerophyllBurnt,152.971524,-29.379345,61.36,Banyabba,Dry Sclerophyll,Burnt
144,209,BY-BS-01,East,30,100,25,20,"9, 39",13.8,40,,BW,Dry SclerophyllBurnt,152.971524,-29.379345,61.36,Banyabba,Dry Sclerophyll,Burnt
145,210,BY-BS-01,East,40,100,22,17,,16,90,,BW,Dry SclerophyllBurnt,152.971524,-29.379345,61.36,Banyabba,Dry Sclerophyll,Burnt
146,211,BY-BS-01,East,50,80,17,12,"6, 8, 12, 22, 40",13,20,,BW,Dry SclerophyllBurnt,152.971524,-29.379345,61.36,Banyabba,Dry Sclerophyll,Burnt
147,212,BY-BS-01,South,10,60,18,13,2,12.8,50,,BW,Dry SclerophyllBurnt,152.971524,-29.379345,61.36,Banyabba,Dry Sclerophyll,Burnt
148,213,BY-BS-01,South,20,10,15,10,,14.8,30,,BW,Dry SclerophyllBurnt,152.971524,-29.379345,61.36,Banyabba,Dry Sclerophyll,Burnt
149,214,BY-BS-01,South,30,90,15,10,8,14.8,80,,BW,Dry SclerophyllBurnt,152.971524,-29.379345,61.36,Banyabba,Dry Sclerophyll,Burnt
150,215,BY-BS-01,South,40,80,12,7,"4, 10, 13, 15, 18, 24",4.7,80,,BW,Dry SclerophyllBurnt,152.971524,-29.379345,61.36,Banyabba,Dry Sclerophyll,Burnt
151,216,BY-BS-01,South,50,70,18,13,8,6.8,30,,BW,Dry SclerophyllBurnt,152.971524,-29.379345,61.36,Banyabba,Dry Sclerophyll,Burnt
152,217,BY-BS-01,West,10,100,20,15,10,12.8,70,,BW,Dry SclerophyllBurnt,152.971524,-29.379345,61.36,Banyabba,Dry Sclerophyll,Burnt
153,218,BY-BS-01,West,20,100,19,14,1,5.8,50,,BW,Dry SclerophyllBurnt,152.971524,-29.379345,61.36,Banyabba,Dry Sclerophyll,Burnt
154,219,BY-BS-01,West,30,70,20,15,,16.8,40,,BW,Dry SclerophyllBurnt,152.971524,-29.379345,61.36,Banyabba,Dry Sclerophyll,Burnt
155,220,BY-BS-01,West,40,80,20,15,100,18.1,10,,BW,Dry SclerophyllBurnt,152.971524,-29.379345,61.36,Banyabba,Dry Sclerophyll,Burnt
156,221,BY-BS-01,West,50,80,12,7,"9, 16, 34",14.2,50,,BW,Dry SclerophyllBurnt,152.971524,-29.379345,61.36,Banyabba,Dry Sclerophyll,Burnt
157,222,BY-US-01,North,10,70,35,30,5,12.8,20,,BW,Dry SclerophyllUnburnt,152.969529,-29.382354,71.667,Banyabba,Dry Sclerophyll,Unburnt
158,223,BY-US-01,North,20,100,23,18,20,0.8,50,,BW,Dry SclerophyllUnburnt,152.969529,-29.382354,71.667,Banyabba,Dry Sclerophyll,Unburnt
159,224,BY-US-01,North,30,90,68,63,189,2.8,50,Log,BW,Dry SclerophyllUnburnt,152.969529,-29.382354,71.667,Banyabba,Dry Sclerophyll,Unburnt
160,225,BY-US-01,Norh,40,100,15,10,"7, 8, 9, 10, 21",18.8,70,,BW,Dry SclerophyllUnburnt,152.969529,-29.382354,71.667,Banyabba,Dry Sclerophyll,Unburnt
161,226,BY-US-01,North,50,100,25,20,"7, 8, 9, 11, 14, 21, 24",0.2,10,,BW,Dry SclerophyllUnburnt,152.969529,-29.382354,71.667,Banyabba,Dry Sclerophyll,Unburnt
162,227,BY-US-01,East,10,80,38,33,16,0.2,80,,BW,Dry SclerophyllUnburnt,152.969529,-29.382354,71.667,Banyabba,Dry Sclerophyll,Unburnt
163,228,BY-US-01,East,20,100,23,18,,0.8,20,,BW,Dry SclerophyllUnburnt,152.969529,-29.382354,71.667,Banyabba,Dry Sclerophyll,Unburnt
164,229,BY-US-01,East,30,100,28,23,,0.6,60,,BW,Dry SclerophyllUnburnt,152.969529,-29.382354,71.667,Banyabba,Dry Sclerophyll,Unburnt
165,230,BY-US-01,East,40,100,21,16,18,9.8,20,,BW,Dry SclerophyllUnburnt,152.969529,-29.382354,71.667,Banyabba,Dry Sclerophyll,Unburnt
166,231,BY-US-01,East,50,100,30,25,,0.8,30,,BW,Dry SclerophyllUnburnt,152.969529,-29.382354,71.667,Banyabba,Dry Sclerophyll,Unburnt
167,232,BY-US-01,South,10,80,30,25,"25, 175",7.8,10,,BW,Dry SclerophyllUnburnt,152.969529,-29.382354,71.667,Banyabba,Dry Sclerophyll,Unburnt
168,233,BY-US-01,South,20,100,43,38,,16.1,10,,BW,Dry SclerophyllUnburnt,152.969529,-29.382354,71.667,Banyabba,Dry Sclerophyll,Unburnt
169,234,BY-US-01,South,30,100,38,33,,5.1,30,,BW,Dry SclerophyllUnburnt,152.969529,-29.382354,71.667,Banyabba,Dry Sclerophyll,Unburnt
170,235,BY-US-01,South,40,80,42,37,,2.8,10,Log,BW,Dry SclerophyllUnburnt,152.969529,-29.382354,71.667,Banyabba,Dry Sclerophyll,Unburnt
171,236,BY-US-01,South,50,100,28,23,,11.8,60,,BW,Dry SclerophyllUnburnt,152.969529,-29.382354,71.667,Banyabba,Dry Sclerophyll,Unburnt
172,237,BY-US-01,West,10,90,11,6,"13, 15, 20, 31, 86",0.2,30,,BW,Dry SclerophyllUnburnt,152.969529,-29.382354,71.667,Banyabba,Dry Sclerophyll,Unburnt
173,238,BY-US-01,West,20,100,21,16,71,0.2,60,,BW,Dry SclerophyllUnburnt,152.969529,-29.382354,71.667,Banyabba,Dry Sclerophyll,Unburnt
174,239,BY-US-01,West,30,100,95,90,"24, 97, 106, 145, 196",0.2,70,,BW,Dry SclerophyllUnburnt,152.969529,-29.382354,71.667,Banyabba,Dry Sclerophyll,Unburnt
